Name,URL
Sachin,https://stats.espncricinfo.com/ci/engine/player/35320.html?class=2;template=results;type=batting;view=innings
Kohli,https://stats.espncricinfo.com/ci/engine/player/253802.html?class=2;template=results;type=batting;view=innings
Ganguly,https://stats.espncricinfo.com/ci/engine/player/28779.html?class=2;template=results;type=batting;view=innings
Dravid,https://stats.espncricinfo.com/ci/engine/player/28114.html?class=2;template=results;type=batting;view=innings
Dhoni,https://stats.espncricinfo.com/ci/engine/player/28081.html?class=2;template=results;type=batting;view=innings
Rohit,https://stats.espncricinfo.com/ci/engine/player/34102.html?class=2;template=results;type=batting;view=innings
Azharuddin,https://stats.espncricinfo.com/ci/engine/player/26329.html?class=2;template=results;type=batting;view=innings
Yuvraj,https://stats.espncricinfo.com/ci/engine/player/36084.html?class=2;template=results;type=batting;view=innings
Sehwag,https://stats.espncricinfo.com/ci/engine/player/35263.html?class=2;template=results;type=batting;view=innings
